"Informe de estadísticas de uso de OJS"
"Informe de estadísticas de uso de OJS predeterminado (COUNTER preparado)"
"Métrica: ojs::counter"
"Dirección URL del informe: http://estudiosdemograficosyurbanos.colmex.mx/index.php/edu/manager/generateReport?metricType=ojs%3A%3Acounter&columns[]=assoc_type&columns[]=submission_id&columns[]=issue_id&columns[]=country_id&columns[]=month&filters=a%3A3%3A%7Bs%3A10%3A%22assoc_type%22%3Ba%3A1%3A%7Bi%3A0%3Bs%3A3%3A%22257%22%3B%7Ds%3A10%3A%22context_id%22%3Bs%3A1%3A%221%22%3Bs%3A3%3A%22day%22%3Ba%3A2%3A%7Bs%3A4%3A%22from%22%3Bs%3A8%3A%2220180101%22%3Bs%3A2%3A%22to%22%3Bs%3A8%3A%2220180709%22%3B%7D%7D"

,Tipo,Texto,Número,País,Mes,Total
,Texto,"Estrategias reproductivas y formación de capital social en contextos migratorios y periurbanos. Un análisis desde la perspectiva de Pierre Bourdieu",93,ES,201805,2
,Texto,"Estrategias reproductivas y formación de capital social en contextos migratorios y periurbanos. Un análisis desde la perspectiva de Pierre Bourdieu",93,FR,201801,5
,Texto,"Estrategias reproductivas y formación de capital social en contextos migratorios y periurbanos. Un análisis desde la perspectiva de Pierre Bourdieu",93,FR,201802,3
,Texto,"Estrategias reproductivas y formación de capital social en contextos migratorios y periurbanos. Un análisis desde la perspectiva de Pierre Bourdieu",93,FR,201805,3
,Texto,"Estrategias reproductivas y formación de capital social en contextos migratorios y periurbanos. Un análisis desde la perspectiva de Pierre Bourdieu",93,GB,201801,1
,Texto,"Estrategias reproductivas y formación de capital social en contextos migratorios y periurbanos. Un análisis desde la perspectiva de Pierre Bourdieu",93,GB,201806,1
,Texto,"Estrategias reproductivas y formación de capital social en contextos migratorios y periurbanos. Un análisis desde la perspectiva de Pierre Bourdieu",93,MX,201801,1
,Texto,"Estrategias reproductivas y formación de capital social en contextos migratorios y periurbanos. Un análisis desde la perspectiva de Pierre Bourdieu",93,MX,201802,1
,Texto,"Estrategias reproductivas y formación de capital social en contextos migratorios y periurbanos. Un análisis desde la perspectiva de Pierre Bourdieu",93,MX,201803,3
,Texto,"Estrategias reproductivas y formación de capital social en contextos migratorios y periurbanos. Un análisis desde la perspectiva de Pierre Bourdieu",93,MX,201805,5
,Texto,"Estrategias reproductivas y formación de capital social en contextos migratorios y periurbanos. Un análisis desde la perspectiva de Pierre Bourdieu",93,MX,201806,2
,Texto,"Estrategias reproductivas y formación de capital social en contextos migratorios y periurbanos. Un análisis desde la perspectiva de Pierre Bourdieu",93,PH,201803,1
,Texto,"Estrategias reproductivas y formación de capital social en contextos migratorios y periurbanos. Un análisis desde la perspectiva de Pierre Bourdieu",93,US,201801,6
,Texto,"Estrategias reproductivas y formación de capital social en contextos migratorios y periurbanos. Un análisis desde la perspectiva de Pierre Bourdieu",93,US,201802,7
,Texto,"Estrategias reproductivas y formación de capital social en contextos migratorios y periurbanos. Un análisis desde la perspectiva de Pierre Bourdieu",93,US,201803,6
,Texto,"Estrategias reproductivas y formación de capital social en contextos migratorios y periurbanos. Un análisis desde la perspectiva de Pierre Bourdieu",93,US,201804,4
,Texto,"Estrategias reproductivas y formación de capital social en contextos migratorios y periurbanos. Un análisis desde la perspectiva de Pierre Bourdieu",93,US,201805,5
,Texto,"Estrategias reproductivas y formación de capital social en contextos migratorios y periurbanos. Un análisis desde la perspectiva de Pierre Bourdieu",93,US,201806,3
,Texto,"Estrategias reproductivas y formación de capital social en contextos migratorios y periurbanos. Un análisis desde la perspectiva de Pierre Bourdieu",93,VN,201806,1
,Texto,"Distintas o iguales: las diferencias en el trabajo doméstico de las parejas de doble ingreso entre las uniones libres y los matrimonios",93,,201802,1
,Texto,"Distintas o iguales: las diferencias en el trabajo doméstico de las parejas de doble ingreso entre las uniones libres y los matrimonios",93,,201803,1
,Texto,"Distintas o iguales: las diferencias en el trabajo doméstico de las parejas de doble ingreso entre las uniones libres y los matrimonios",93,,201804,4
,Texto,"Distintas o iguales: las diferencias en el trabajo doméstico de las parejas de doble ingreso entre las uniones libres y los matrimonios",93,,201805,5
,Texto,"Distintas o iguales: las diferencias en el trabajo doméstico de las parejas de doble ingreso entre las uniones libres y los matrimonios",93,AR,201801,1
,Texto,"Distintas o iguales: las diferencias en el trabajo doméstico de las parejas de doble ingreso entre las uniones libres y los matrimonios",93,AR,201803,1
,Texto,"Distintas o iguales: las diferencias en el trabajo doméstico de las parejas de doble ingreso entre las uniones libres y los matrimonios",93,CL,201803,1
,Texto,"Distintas o iguales: las diferencias en el trabajo doméstico de las parejas de doble ingreso entre las uniones libres y los matrimonios",93,CZ,201803,3
,Texto,"Distintas o iguales: las diferencias en el trabajo doméstico de las parejas de doble ingreso entre las uniones libres y los matrimonios",93,DE,201806,1
,Texto,"Distintas o iguales: las diferencias en el trabajo doméstico de las parejas de doble ingreso entre las uniones libres y los matrimonios",93,ES,201801,1
,Texto,"Distintas o iguales: las diferencias en el trabajo doméstico de las parejas de doble ingreso entre las uniones libres y los matrimonios",93,ES,201805,2
,Texto,"Distintas o iguales: las diferencias en el trabajo doméstico de las parejas de doble ingreso entre las uniones libres y los matrimonios",93,FR,201801,4
,Texto,"Distintas o iguales: las diferencias en el trabajo doméstico de las parejas de doble ingreso entre las uniones libres y los matrimonios",93,FR,201802,2
,Texto,"Distintas o iguales: las diferencias en el trabajo doméstico de las parejas de doble ingreso entre las uniones libres y los matrimonios",93,FR,201805,3
,Texto,"Distintas o iguales: las diferencias en el trabajo doméstico de las parejas de doble ingreso entre las uniones libres y los matrimonios",93,GB,201801,2
,Texto,"Distintas o iguales: las diferencias en el trabajo doméstico de las parejas de doble ingreso entre las uniones libres y los matrimonios",93,GB,201802,1
,Texto,"Distintas o iguales: las diferencias en el trabajo doméstico de las parejas de doble ingreso entre las uniones libres y los matrimonios",93,HT,201804,2
,Texto,"Distintas o iguales: las diferencias en el trabajo doméstico de las parejas de doble ingreso entre las uniones libres y los matrimonios",93,MX,201802,3
,Texto,"Distintas o iguales: las diferencias en el trabajo doméstico de las parejas de doble ingreso entre las uniones libres y los matrimonios",93,MX,201803,5
,Texto,"Distintas o iguales: las diferencias en el trabajo doméstico de las parejas de doble ingreso entre las uniones libres y los matrimonios",93,MX,201804,5
,Texto,"Distintas o iguales: las diferencias en el trabajo doméstico de las parejas de doble ingreso entre las uniones libres y los matrimonios",93,MX,201805,8
,Texto,"Distintas o iguales: las diferencias en el trabajo doméstico de las parejas de doble ingreso entre las uniones libres y los matrimonios",93,MX,201807,1
,Texto,"Distintas o iguales: las diferencias en el trabajo doméstico de las parejas de doble ingreso entre las uniones libres y los matrimonios",93,SE,201806,1
,Texto,"Distintas o iguales: las diferencias en el trabajo doméstico de las parejas de doble ingreso entre las uniones libres y los matrimonios",93,US,201801,5
,Texto,"Distintas o iguales: las diferencias en el trabajo doméstico de las parejas de doble ingreso entre las uniones libres y los matrimonios",93,US,201802,9
,Texto,"Distintas o iguales: las diferencias en el trabajo doméstico de las parejas de doble ingreso entre las uniones libres y los matrimonios",93,US,201803,8
,Texto,"Distintas o iguales: las diferencias en el trabajo doméstico de las parejas de doble ingreso entre las uniones libres y los matrimonios",93,US,201804,17
,Texto,"Distintas o iguales: las diferencias en el trabajo doméstico de las parejas de doble ingreso entre las uniones libres y los matrimonios",93,US,201805,8
,Texto,"Distintas o iguales: las diferencias en el trabajo doméstico de las parejas de doble ingreso entre las uniones libres y los matrimonios",93,US,201806,6
,Texto,"Distintas o iguales: las diferencias en el trabajo doméstico de las parejas de doble ingreso entre las uniones libres y los matrimonios",93,VE,201804,1
,Texto,"Distintas o iguales: las diferencias en el trabajo doméstico de las parejas de doble ingreso entre las uniones libres y los matrimonios",93,VN,201806,1
,Texto,"Uso de los parques recreativos en Mérida, Yucatán",93,,201801,2
,Texto,"Uso de los parques recreativos en Mérida, Yucatán",93,AR,201801,1
,Texto,"Uso de los parques recreativos en Mérida, Yucatán",93,AR,201806,1
,Texto,"Uso de los parques recreativos en Mérida, Yucatán",93,AT,201802,1
,Texto,"Uso de los parques recreativos en Mérida, Yucatán",93,AT,201803,2
,Texto,"Uso de los parques recreativos en Mérida, Yucatán",93,AT,201804,1
,Texto,"Uso de los parques recreativos en Mérida, Yucatán",93,AT,201805,1
,Texto,"Uso de los parques recreativos en Mérida, Yucatán",93,CZ,201803,3
,Texto,"Uso de los parques recreativos en Mérida, Yucatán",93,DE,201805,1
,Texto,"Uso de los parques recreativos en Mérida, Yucatán",93,DE,201806,4
,Texto,"Uso de los parques recreativos en Mérida, Yucatán",93,EC,201805,1
,Texto,"Uso de los parques recreativos en Mérida, Yucatán",93,ES,201805,2
,Texto,"Uso de los parques recreativos en Mérida, Yucatán",93,FR,201801,5
,Texto,"Uso de los parques recreativos en Mérida, Yucatán",93,FR,201802,2
,Texto,"Uso de los parques recreativos en Mérida, Yucatán",93,FR,201803,1
,Texto,"Uso de los parques recreativos en Mérida, Yucatán",93,FR,201805,2
,Texto,"Uso de los parques recreativos en Mérida, Yucatán",93,FR,201806,1
,Texto,"Uso de los parques recreativos en Mérida, Yucatán",93,GB,201801,1
,Texto,"Uso de los parques recreativos en Mérida, Yucatán",93,GB,201802,1
,Texto,"Uso de los parques recreativos en Mérida, Yucatán",93,MX,201801,1
,Texto,"Uso de los parques recreativos en Mérida, Yucatán",93,MX,201802,2
,Texto,"Uso de los parques recreativos en Mérida, Yucatán",93,MX,201803,10
,Texto,"Uso de los parques recreativos en Mérida, Yucatán",93,MX,201804,15
,Texto,"Uso de los parques recreativos en Mérida, Yucatán",93,MX,201805,8
,Texto,"Uso de los parques recreativos en Mérida, Yucatán",93,MX,201806,16
,Texto,"Uso de los parques recreativos en Mérida, Yucatán",93,MX,201807,1
,Texto,"Uso de los parques recreativos en Mérida, Yucatán",93,NL,201806,1
,Texto,"Uso de los parques recreativos en Mérida, Yucatán",93,PE,201804,1
,Texto,"Uso de los parques recreativos en Mérida, Yucatán",93,RU,201805,1
,Texto,"Uso de los parques recreativos en Mérida, Yucatán",93,SE,201806,1
,Texto,"Uso de los parques recreativos en Mérida, Yucatán",93,US,201801,3
,Texto,"Uso de los parques recreativos en Mérida, Yucatán",93,US,201802,7
,Texto,"Uso de los parques recreativos en Mérida, Yucatán",93,US,201803,14
,Texto,"Uso de los parques recreativos en Mérida, Yucatán",93,US,201804,9
,Texto,"Uso de los parques recreativos en Mérida, Yucatán",93,US,201805,13
,Texto,"Uso de los parques recreativos en Mérida, Yucatán",93,US,201806,6
,Texto,"Uso de los parques recreativos en Mérida, Yucatán",93,US,201807,1
,Texto,"Uso de los parques recreativos en Mérida, Yucatán",93,VE,201805,3
,Texto,"Uso de los parques recreativos en Mérida, Yucatán",93,VE,201806,1
,Texto,"Uso de los parques recreativos en Mérida, Yucatán",93,VN,201806,1
,Texto,"Migración sur-sur: factores relacionales e inserción segmentada de la población boliviana y peruana en la ciudad de Córdoba, Argentina",93,,201803,1
,Texto,"Migración sur-sur: factores relacionales e inserción segmentada de la población boliviana y peruana en la ciudad de Córdoba, Argentina",93,,201805,1
,Texto,"Migración sur-sur: factores relacionales e inserción segmentada de la población boliviana y peruana en la ciudad de Córdoba, Argentina",93,AR,201801,1
,Texto,"Migración sur-sur: factores relacionales e inserción segmentada de la población boliviana y peruana en la ciudad de Córdoba, Argentina",93,AR,201802,3
,Texto,"Migración sur-sur: factores relacionales e inserción segmentada de la población boliviana y peruana en la ciudad de Córdoba, Argentina",93,AR,201803,4
,Texto,"Migración sur-sur: factores relacionales e inserción segmentada de la población boliviana y peruana en la ciudad de Córdoba, Argentina",93,AR,201805,4
,Texto,"Migración sur-sur: factores relacionales e inserción segmentada de la población boliviana y peruana en la ciudad de Córdoba, Argentina",93,AR,201806,4
,Texto,"Migración sur-sur: factores relacionales e inserción segmentada de la población boliviana y peruana en la ciudad de Córdoba, Argentina",93,AT,201802,2
,Texto,"Migración sur-sur: factores relacionales e inserción segmentada de la población boliviana y peruana en la ciudad de Córdoba, Argentina",93,AT,201803,3
,Texto,"Migración sur-sur: factores relacionales e inserción segmentada de la población boliviana y peruana en la ciudad de Córdoba, Argentina",93,AT,201804,2
,Texto,"Migración sur-sur: factores relacionales e inserción segmentada de la población boliviana y peruana en la ciudad de Córdoba, Argentina",93,AT,201805,2
,Texto,"Migración sur-sur: factores relacionales e inserción segmentada de la población boliviana y peruana en la ciudad de Córdoba, Argentina",93,BR,201801,1
,Texto,"Migración sur-sur: factores relacionales e inserción segmentada de la población boliviana y peruana en la ciudad de Córdoba, Argentina",93,CZ,201803,3
,Texto,"Migración sur-sur: factores relacionales e inserción segmentada de la población boliviana y peruana en la ciudad de Córdoba, Argentina",93,DE,201806,1
,Texto,"Migración sur-sur: factores relacionales e inserción segmentada de la población boliviana y peruana en la ciudad de Córdoba, Argentina",93,ES,201805,2
,Texto,"Migración sur-sur: factores relacionales e inserción segmentada de la población boliviana y peruana en la ciudad de Córdoba, Argentina",93,FR,201801,5
,Texto,"Migración sur-sur: factores relacionales e inserción segmentada de la población boliviana y peruana en la ciudad de Córdoba, Argentina",93,FR,201802,2
,Texto,"Migración sur-sur: factores relacionales e inserción segmentada de la población boliviana y peruana en la ciudad de Córdoba, Argentina",93,FR,201805,3
,Texto,"Migración sur-sur: factores relacionales e inserción segmentada de la población boliviana y peruana en la ciudad de Córdoba, Argentina",93,GB,201801,1
,Texto,"Migración sur-sur: factores relacionales e inserción segmentada de la población boliviana y peruana en la ciudad de Córdoba, Argentina",93,HT,201804,1
,Texto,"Migración sur-sur: factores relacionales e inserción segmentada de la población boliviana y peruana en la ciudad de Córdoba, Argentina",93,IR,201803,1
,Texto,"Migración sur-sur: factores relacionales e inserción segmentada de la población boliviana y peruana en la ciudad de Córdoba, Argentina",93,IT,201802,1
,Texto,"Migración sur-sur: factores relacionales e inserción segmentada de la población boliviana y peruana en la ciudad de Córdoba, Argentina",93,MX,201804,2
,Texto,"Migración sur-sur: factores relacionales e inserción segmentada de la población boliviana y peruana en la ciudad de Córdoba, Argentina",93,MX,201805,3
,Texto,"Migración sur-sur: factores relacionales e inserción segmentada de la población boliviana y peruana en la ciudad de Córdoba, Argentina",93,PE,201804,1
,Texto,"Migración sur-sur: factores relacionales e inserción segmentada de la población boliviana y peruana en la ciudad de Córdoba, Argentina",93,PE,201805,1
,Texto,"Migración sur-sur: factores relacionales e inserción segmentada de la población boliviana y peruana en la ciudad de Córdoba, Argentina",93,US,201801,1
,Texto,"Migración sur-sur: factores relacionales e inserción segmentada de la población boliviana y peruana en la ciudad de Córdoba, Argentina",93,US,201802,6
,Texto,"Migración sur-sur: factores relacionales e inserción segmentada de la población boliviana y peruana en la ciudad de Córdoba, Argentina",93,US,201803,9
,Texto,"Migración sur-sur: factores relacionales e inserción segmentada de la población boliviana y peruana en la ciudad de Córdoba, Argentina",93,US,201804,6
,Texto,"Migración sur-sur: factores relacionales e inserción segmentada de la población boliviana y peruana en la ciudad de Córdoba, Argentina",93,US,201805,10
,Texto,"Migración sur-sur: factores relacionales e inserción segmentada de la población boliviana y peruana en la ciudad de Córdoba, Argentina",93,US,201806,5
,Texto,"Migración sur-sur: factores relacionales e inserción segmentada de la población boliviana y peruana en la ciudad de Córdoba, Argentina",93,VE,201804,1
,Texto,"Migración sur-sur: factores relacionales e inserción segmentada de la población boliviana y peruana en la ciudad de Córdoba, Argentina",93,VN,201806,1
,Texto,"Una nueva mirada a la participación masculina en el trabajo doméstico y el cuidado de los hijos en México",93,,201804,1
,Texto,"Una nueva mirada a la participación masculina en el trabajo doméstico y el cuidado de los hijos en México",93,,201805,1
,Texto,"Una nueva mirada a la participación masculina en el trabajo doméstico y el cuidado de los hijos en México",93,,201806,1
,Texto,"Una nueva mirada a la participación masculina en el trabajo doméstico y el cuidado de los hijos en México",93,AR,201801,1
,Texto,"Una nueva mirada a la participación masculina en el trabajo doméstico y el cuidado de los hijos en México",93,AT,201802,1
,Texto,"Una nueva mirada a la participación masculina en el trabajo doméstico y el cuidado de los hijos en México",93,AT,201803,1
,Texto,"Una nueva mirada a la participación masculina en el trabajo doméstico y el cuidado de los hijos en México",93,AT,201804,1
,Texto,"Una nueva mirada a la participación masculina en el trabajo doméstico y el cuidado de los hijos en México",93,AT,201805,1
,Texto,"Una nueva mirada a la participación masculina en el trabajo doméstico y el cuidado de los hijos en México",93,CL,201803,2
,Texto,"Una nueva mirada a la participación masculina en el trabajo doméstico y el cuidado de los hijos en México",93,CL,201805,1
,Texto,"Una nueva mirada a la participación masculina en el trabajo doméstico y el cuidado de los hijos en México",93,CZ,201803,3
,Texto,"Una nueva mirada a la participación masculina en el trabajo doméstico y el cuidado de los hijos en México",93,DE,201802,1
,Texto,"Una nueva mirada a la participación masculina en el trabajo doméstico y el cuidado de los hijos en México",93,DE,201806,1
,Texto,"Una nueva mirada a la participación masculina en el trabajo doméstico y el cuidado de los hijos en México",93,DE,201807,1
,Texto,"Una nueva mirada a la participación masculina en el trabajo doméstico y el cuidado de los hijos en México",93,DO,201803,1
,Texto,"Una nueva mirada a la participación masculina en el trabajo doméstico y el cuidado de los hijos en México",93,ES,201801,1
,Texto,"Una nueva mirada a la participación masculina en el trabajo doméstico y el cuidado de los hijos en México",93,ES,201805,2
,Texto,"Una nueva mirada a la participación masculina en el trabajo doméstico y el cuidado de los hijos en México",93,ES,201806,2
,Texto,"Una nueva mirada a la participación masculina en el trabajo doméstico y el cuidado de los hijos en México",93,FR,201801,4
,Texto,"Una nueva mirada a la participación masculina en el trabajo doméstico y el cuidado de los hijos en México",93,FR,201802,3
,Texto,"Una nueva mirada a la participación masculina en el trabajo doméstico y el cuidado de los hijos en México",93,FR,201805,3
,Texto,"Una nueva mirada a la participación masculina en el trabajo doméstico y el cuidado de los hijos en México",93,GB,201801,1
,Texto,"Una nueva mirada a la participación masculina en el trabajo doméstico y el cuidado de los hijos en México",93,MX,201801,3
,Texto,"Una nueva mirada a la participación masculina en el trabajo doméstico y el cuidado de los hijos en México",93,MX,201802,2
,Texto,"Una nueva mirada a la participación masculina en el trabajo doméstico y el cuidado de los hijos en México",93,MX,201803,3
,Texto,"Una nueva mirada a la participación masculina en el trabajo doméstico y el cuidado de los hijos en México",93,MX,201804,4
,Texto,"Una nueva mirada a la participación masculina en el trabajo doméstico y el cuidado de los hijos en México",93,MX,201805,8
,Texto,"Una nueva mirada a la participación masculina en el trabajo doméstico y el cuidado de los hijos en México",93,MX,201807,1
,Texto,"Una nueva mirada a la participación masculina en el trabajo doméstico y el cuidado de los hijos en México",93,PE,201806,1
,Texto,"Una nueva mirada a la participación masculina en el trabajo doméstico y el cuidado de los hijos en México",93,SE,201806,1
,Texto,"Una nueva mirada a la participación masculina en el trabajo doméstico y el cuidado de los hijos en México",93,US,201801,6
,Texto,"Una nueva mirada a la participación masculina en el trabajo doméstico y el cuidado de los hijos en México",93,US,201802,5
,Texto,"Una nueva mirada a la participación masculina en el trabajo doméstico y el cuidado de los hijos en México",93,US,201803,10
,Texto,"Una nueva mirada a la participación masculina en el trabajo doméstico y el cuidado de los hijos en México",93,US,201804,12
,Texto,"Una nueva mirada a la participación masculina en el trabajo doméstico y el cuidado de los hijos en México",93,US,201805,8
,Texto,"Una nueva mirada a la participación masculina en el trabajo doméstico y el cuidado de los hijos en México",93,US,201806,6
,Texto,"Una nueva mirada a la participación masculina en el trabajo doméstico y el cuidado de los hijos en México",93,US,201807,1
,Texto,"Una nueva mirada a la participación masculina en el trabajo doméstico y el cuidado de los hijos en México",93,VN,201806,1
,Texto,"El formato Redatam",93,AR,201801,1
,Texto,"El formato Redatam",93,AR,201802,2
,Texto,"El formato Redatam",93,AR,201806,2
,Texto,"El formato Redatam",93,CL,201806,1
,Texto,"El formato Redatam",93,CZ,201803,3
,Texto,"El formato Redatam",93,DE,201806,3
,Texto,"El formato Redatam",93,ES,201805,1
,Texto,"El formato Redatam",93,FR,201801,5
,Texto,"El formato Redatam",93,FR,201802,3
,Texto,"El formato Redatam",93,FR,201803,17
,Texto,"El formato Redatam",93,FR,201805,3
,Texto,"El formato Redatam",93,GB,201806,1
,Texto,"El formato Redatam",93,IL,201803,1
,Texto,"El formato Redatam",93,KR,201804,1
,Texto,"El formato Redatam",93,KR,201805,1
,Texto,"El formato Redatam",93,MX,201801,2
,Texto,"El formato Redatam",93,MX,201805,3
,Texto,"El formato Redatam",93,MX,201806,2
,Texto,"El formato Redatam",93,US,201801,8
,Texto,"El formato Redatam",93,US,201802,7
,Texto,"El formato Redatam",93,US,201803,5
,Texto,"El formato Redatam",93,US,201804,7
,Texto,"El formato Redatam",93,US,201805,5
,Texto,"El formato Redatam",93,US,201806,5
,Texto,"El formato Redatam",93,US,201807,1
,Texto,"El formato Redatam",93,VN,201806,1
,Texto,"La contracepción en el Tercer Mundo",3,AT,201802,1
,Texto,"La contracepción en el Tercer Mundo",3,AT,201803,2
,Texto,"La contracepción en el Tercer Mundo",3,AT,201804,1
,Texto,"La contracepción en el Tercer Mundo",3,AT,201805,1
,Texto,"La contracepción en el Tercer Mundo",3,CZ,201803,2
,Texto,"La contracepción en el Tercer Mundo",3,DE,201804,1
,Texto,"La contracepción en el Tercer Mundo",3,FR,201801,1
,Texto,"La contracepción en el Tercer Mundo",3,FR,201802,1
,Texto,"La contracepción en el Tercer Mundo",3,US,201801,4
,Texto,"La contracepción en el Tercer Mundo",3,US,201802,3
,Texto,"La contracepción en el Tercer Mundo",3,US,201803,1
,Texto,"La contracepción en el Tercer Mundo",3,US,201804,3
,Texto,"La contracepción en el Tercer Mundo",3,US,201805,2
,Texto,"La contracepción en el Tercer Mundo",3,US,201806,1
,Texto,"La contracepción en el Tercer Mundo",3,US,201807,1
,Texto,"La migración interna en México, 1950-1960 : aspectos metodológicos y cuantitativos",3,BR,201802,3
,Texto,"La migración interna en México, 1950-1960 : aspectos metodológicos y cuantitativos",3,CZ,201803,2
,Texto,"La migración interna en México, 1950-1960 : aspectos metodológicos y cuantitativos",3,DE,201804,1
,Texto,"La migración interna en México, 1950-1960 : aspectos metodológicos y cuantitativos",3,MX,201801,1
,Texto,"La migración interna en México, 1950-1960 : aspectos metodológicos y cuantitativos",3,MX,201802,3
,Texto,"La migración interna en México, 1950-1960 : aspectos metodológicos y cuantitativos",3,MX,201803,3
,Texto,"La migración interna en México, 1950-1960 : aspectos metodológicos y cuantitativos",3,MX,201804,8
,Texto,"La migración interna en México, 1950-1960 : aspectos metodológicos y cuantitativos",3,MX,201805,1
,Texto,"La migración interna en México, 1950-1960 : aspectos metodológicos y cuantitativos",3,MX,201806,2
,Texto,"La migración interna en México, 1950-1960 : aspectos metodológicos y cuantitativos",3,US,201801,3
,Texto,"La migración interna en México, 1950-1960 : aspectos metodológicos y cuantitativos",3,US,201802,3
,Texto,"La migración interna en México, 1950-1960 : aspectos metodológicos y cuantitativos",3,US,201803,3
,Texto,"La migración interna en México, 1950-1960 : aspectos metodológicos y cuantitativos",3,US,201804,5
,Texto,"La migración interna en México, 1950-1960 : aspectos metodológicos y cuantitativos",3,US,201805,3
,Texto,"La migración interna en México, 1950-1960 : aspectos metodológicos y cuantitativos",3,US,201807,1
,Texto,"Dinámica de la estratificación social en algunas ciudades pequeñas y medianas de México",3,CZ,201803,2
,Texto,"Dinámica de la estratificación social en algunas ciudades pequeñas y medianas de México",3,DE,201805,1
,Texto,"Dinámica de la estratificación social en algunas ciudades pequeñas y medianas de México",3,MX,201803,4
,Texto,"Dinámica de la estratificación social en algunas ciudades pequeñas y medianas de México",3,MX,201806,1
,Texto,"Dinámica de la estratificación social en algunas ciudades pequeñas y medianas de México",3,US,201801,3
,Texto,"Dinámica de la estratificación social en algunas ciudades pequeñas y medianas de México",3,US,201802,2
,Texto,"Dinámica de la estratificación social en algunas ciudades pequeñas y medianas de México",3,US,201803,4
,Texto,"Dinámica de la estratificación social en algunas ciudades pequeñas y medianas de México",3,US,201804,2
,Texto,"Dinámica de la estratificación social en algunas ciudades pequeñas y medianas de México",3,US,201805,3
,Texto,"Dinámica de la estratificación social en algunas ciudades pequeñas y medianas de México",3,US,201806,3
,Texto,"Dinámica de la estratificación social en algunas ciudades pequeñas y medianas de México",3,US,201807,1
,Texto,"Ronald Freedman, Kingsley Davis y Judith Blake. Factores sociológicos de la fecundidad. México : El Colegio de México ; Centro Latinoamericano de Demografía, 1967. 201 p.",3,CO,201805,1
,Texto,"Ronald Freedman, Kingsley Davis y Judith Blake. Factores sociológicos de la fecundidad. México : El Colegio de México ; Centro Latinoamericano de Demografía, 1967. 201 p.",3,CZ,201803,2
,Texto,"Ronald Freedman, Kingsley Davis y Judith Blake. Factores sociológicos de la fecundidad. México : El Colegio de México ; Centro Latinoamericano de Demografía, 1967. 201 p.",3,DE,201805,1
,Texto,"Ronald Freedman, Kingsley Davis y Judith Blake. Factores sociológicos de la fecundidad. México : El Colegio de México ; Centro Latinoamericano de Demografía, 1967. 201 p.",3,ES,201806,3
,Texto,"Ronald Freedman, Kingsley Davis y Judith Blake. Factores sociológicos de la fecundidad. México : El Colegio de México ; Centro Latinoamericano de Demografía, 1967. 201 p.",3,MX,201803,1
