"Informe de estadísticas de uso de OJS"
"Informe de estadísticas de uso de OJS predeterminado (COUNTER preparado)"
"Métrica: ojs::counter"
"Dirección URL del informe: http://estudiosdemograficosyurbanos.colmex.mx/index.php/edu/manager/generateReport?metricType=ojs%3A%3Acounter&columns[]=assoc_type&columns[]=context_id&columns[]=country_id&columns[]=month&filters=a%3A3%3A%7Bs%3A10%3A%22assoc_type%22%3Ba%3A1%3A%7Bi%3A0%3Bs%3A3%3A%22256%22%3B%7Ds%3A10%3A%22context_id%22%3Bs%3A1%3A%221%22%3Bs%3A3%3A%22day%22%3Ba%3A2%3A%7Bs%3A4%3A%22from%22%3Bs%3A8%3A%2220180101%22%3Bs%3A2%3A%22to%22%3Bs%3A8%3A%2220180709%22%3B%7D%7D"

,Tipo,Revista,País,Mes,Total
,Revista,"Estudios Demográficos y Urbanos",DE,201806,10
,Revista,"Estudios Demográficos y Urbanos",DE,201807,12
,Revista,"Estudios Demográficos y Urbanos",DK,201801,1
,Revista,"Estudios Demográficos y Urbanos",DK,201803,2
,Revista,"Estudios Demográficos y Urbanos",DO,201801,11
,Revista,"Estudios Demográficos y Urbanos",DO,201802,8
,Revista,"Estudios Demográficos y Urbanos",DO,201803,16
,Revista,"Estudios Demográficos y Urbanos",DO,201804,11
,Revista,"Estudios Demográficos y Urbanos",DO,201805,6
,Revista,"Estudios Demográficos y Urbanos",DO,201806,9
,Revista,"Estudios Demográficos y Urbanos",DZ,201801,7
,Revista,"Estudios Demográficos y Urbanos",DZ,201802,3
,Revista,"Estudios Demográficos y Urbanos",DZ,201803,12
,Revista,"Estudios Demográficos y Urbanos",DZ,201804,5
,Revista,"Estudios Demográficos y Urbanos",DZ,201805,2
,Revista,"Estudios Demográficos y Urbanos",DZ,201806,5
,Revista,"Estudios Demográficos y Urbanos",DZ,201807,1
,Revista,"Estudios Demográficos y Urbanos",EC,201801,12
,Revista,"Estudios Demográficos y Urbanos",EC,201802,18
,Revista,"Estudios Demográficos y Urbanos",EC,201803,22
,Revista,"Estudios Demográficos y Urbanos",EC,201804,20
,Revista,"Estudios Demográficos y Urbanos",EC,201805,19
,Revista,"Estudios Demográficos y Urbanos",EC,201806,23
,Revista,"Estudios Demográficos y Urbanos",EC,201807,2
,Revista,"Estudios Demográficos y Urbanos",EE,201803,2
,Revista,"Estudios Demográficos y Urbanos",EG,201801,2
,Revista,"Estudios Demográficos y Urbanos",EG,201802,5
,Revista,"Estudios Demográficos y Urbanos",EG,201803,13
,Revista,"Estudios Demográficos y Urbanos",EG,201804,2
,Revista,"Estudios Demográficos y Urbanos",EG,201805,5
,Revista,"Estudios Demográficos y Urbanos",EG,201806,1
,Revista,"Estudios Demográficos y Urbanos",EG,201807,1
,Revista,"Estudios Demográficos y Urbanos",ES,201801,128
,Revista,"Estudios Demográficos y Urbanos",ES,201802,93
,Revista,"Estudios Demográficos y Urbanos",ES,201803,155
,Revista,"Estudios Demográficos y Urbanos",ES,201804,148
,Revista,"Estudios Demográficos y Urbanos",ES,201805,108
,Revista,"Estudios Demográficos y Urbanos",ES,201806,97
,Revista,"Estudios Demográficos y Urbanos",ES,201807,16
,Revista,"Estudios Demográficos y Urbanos",EU,201801,4
,Revista,"Estudios Demográficos y Urbanos",EU,201802,6
,Revista,"Estudios Demográficos y Urbanos",EU,201803,4
,Revista,"Estudios Demográficos y Urbanos",EU,201804,7
,Revista,"Estudios Demográficos y Urbanos",EU,201805,12
,Revista,"Estudios Demográficos y Urbanos",EU,201806,11
,Revista,"Estudios Demográficos y Urbanos",EU,201807,1
,Revista,"Estudios Demográficos y Urbanos",FI,201802,1
,Revista,"Estudios Demográficos y Urbanos",FI,201803,3
,Revista,"Estudios Demográficos y Urbanos",FR,201801,62
,Revista,"Estudios Demográficos y Urbanos",FR,201802,90
,Revista,"Estudios Demográficos y Urbanos",FR,201803,176
,Revista,"Estudios Demográficos y Urbanos",FR,201804,183
,Revista,"Estudios Demográficos y Urbanos",FR,201805,198
,Revista,"Estudios Demográficos y Urbanos",FR,201806,107
,Revista,"Estudios Demográficos y Urbanos",FR,201807,22
,Revista,"Estudios Demográficos y Urbanos",GA,201801,1
,Revista,"Estudios Demográficos y Urbanos",GA,201803,1
,Revista,"Estudios Demográficos y Urbanos",GB,201801,51
,Revista,"Estudios Demográficos y Urbanos",GB,201802,41
,Revista,"Estudios Demográficos y Urbanos",GB,201803,25
,Revista,"Estudios Demográficos y Urbanos",GB,201804,24
,Revista,"Estudios Demográficos y Urbanos",GB,201805,12
,Revista,"Estudios Demográficos y Urbanos",GB,201806,7
,Revista,"Estudios Demográficos y Urbanos",GB,201807,3
,Revista,"Estudios Demográficos y Urbanos",GE,201801,1
,Revista,"Estudios Demográficos y Urbanos",GE,201803,1
,Revista,"Estudios Demográficos y Urbanos",GE,201804,1
,Revista,"Estudios Demográficos y Urbanos",GE,201806,1
,Revista,"Estudios Demográficos y Urbanos",GH,201803,1
,Revista,"Estudios Demográficos y Urbanos",GR,201801,3
,Revista,"Estudios Demográficos y Urbanos",GR,201803,2
,Revista,"Estudios Demográficos y Urbanos",GR,201804,1
,Revista,"Estudios Demográficos y Urbanos",GR,201805,2
,Revista,"Estudios Demográficos y Urbanos",GR,201806,2
,Revista,"Estudios Demográficos y Urbanos",GR,201807,1
,Revista,"Estudios Demográficos y Urbanos",GT,201801,10
,Revista,"Estudios Demográficos y Urbanos",GT,201802,6
,Revista,"Estudios Demográficos y Urbanos",GT,201803,3
,Revista,"Estudios Demográficos y Urbanos",GT,201804,6
,Revista,"Estudios Demográficos y Urbanos",GT,201805,7
,Revista,"Estudios Demográficos y Urbanos",GT,201806,5
,Revista,"Estudios Demográficos y Urbanos",GT,201807,1
,Revista,"Estudios Demográficos y Urbanos",HK,201801,9
,Revista,"Estudios Demográficos y Urbanos",HK,201802,6
,Revista,"Estudios Demográficos y Urbanos",HK,201803,10
,Revista,"Estudios Demográficos y Urbanos",HK,201804,6
,Revista,"Estudios Demográficos y Urbanos",HK,201805,8
,Revista,"Estudios Demográficos y Urbanos",HK,201806,7
,Revista,"Estudios Demográficos y Urbanos",HK,201807,2
,Revista,"Estudios Demográficos y Urbanos",HN,201801,2
,Revista,"Estudios Demográficos y Urbanos",HN,201802,4
,Revista,"Estudios Demográficos y Urbanos",HN,201803,6
,Revista,"Estudios Demográficos y Urbanos",HN,201804,8
,Revista,"Estudios Demográficos y Urbanos",HN,201805,11
,Revista,"Estudios Demográficos y Urbanos",HN,201806,5
,Revista,"Estudios Demográficos y Urbanos",HR,201801,1
,Revista,"Estudios Demográficos y Urbanos",HR,201802,2
,Revista,"Estudios Demográficos y Urbanos",HR,201803,1
,Revista,"Estudios Demográficos y Urbanos",HR,201804,2
,Revista,"Estudios Demográficos y Urbanos",HR,201805,1
,Revista,"Estudios Demográficos y Urbanos",HR,201806,1
,Revista,"Estudios Demográficos y Urbanos",HT,201801,1
,Revista,"Estudios Demográficos y Urbanos",HT,201804,12
,Revista,"Estudios Demográficos y Urbanos",HT,201805,17
,Revista,"Estudios Demográficos y Urbanos",HT,201806,3
,Revista,"Estudios Demográficos y Urbanos",HT,201807,2
,Revista,"Estudios Demográficos y Urbanos",HU,201801,1
,Revista,"Estudios Demográficos y Urbanos",HU,201802,4
,Revista,"Estudios Demográficos y Urbanos",HU,201803,2
,Revista,"Estudios Demográficos y Urbanos",HU,201804,1
,Revista,"Estudios Demográficos y Urbanos",HU,201806,1
,Revista,"Estudios Demográficos y Urbanos",ID,201801,6
,Revista,"Estudios Demográficos y Urbanos",ID,201802,3
,Revista,"Estudios Demográficos y Urbanos",ID,201803,11
,Revista,"Estudios Demográficos y Urbanos",ID,201804,2
,Revista,"Estudios Demográficos y Urbanos",ID,201805,1
,Revista,"Estudios Demográficos y Urbanos",ID,201806,1
,Revista,"Estudios Demográficos y Urbanos",IE,201801,15
,Revista,"Estudios Demográficos y Urbanos",IE,201802,14
,Revista,"Estudios Demográficos y Urbanos",IE,201803,12
,Revista,"Estudios Demográficos y Urbanos",IE,201804,7
,Revista,"Estudios Demográficos y Urbanos",IE,201805,11
,Revista,"Estudios Demográficos y Urbanos",IE,201806,8
,Revista,"Estudios Demográficos y Urbanos",IE,201807,1
,Revista,"Estudios Demográficos y Urbanos",IL,201801,8
,Revista,"Estudios Demográficos y Urbanos",IL,201802,8
,Revista,"Estudios Demográficos y Urbanos",IL,201803,11
,Revista,"Estudios Demográficos y Urbanos",IL,201804,9
,Revista,"Estudios Demográficos y Urbanos",IL,201805,2
,Revista,"Estudios Demográficos y Urbanos",IL,201806,3
,Revista,"Estudios Demográficos y Urbanos",IN,201801,32
,Revista,"Estudios Demográficos y Urbanos",IN,201802,19
,Revista,"Estudios Demográficos y Urbanos",IN,201803,26
,Revista,"Estudios Demográficos y Urbanos",IN,201804,16
,Revista,"Estudios Demográficos y Urbanos",IN,201805,19
,Revista,"Estudios Demográficos y Urbanos",IN,201806,15
,Revista,"Estudios Demográficos y Urbanos",IN,201807,1
,Revista,"Estudios Demográficos y Urbanos",IQ,201802,1
,Revista,"Estudios Demográficos y Urbanos",IQ,201803,3
,Revista,"Estudios Demográficos y Urbanos",IR,201801,4
,Revista,"Estudios Demográficos y Urbanos",IR,201802,3
,Revista,"Estudios Demográficos y Urbanos",IR,201805,4
,Revista,"Estudios Demográficos y Urbanos",IR,201807,2
,Revista,"Estudios Demográficos y Urbanos",IT,201801,42
,Revista,"Estudios Demográficos y Urbanos",IT,201802,22
,Revista,"Estudios Demográficos y Urbanos",IT,201803,29
,Revista,"Estudios Demográficos y Urbanos",IT,201804,76
,Revista,"Estudios Demográficos y Urbanos",IT,201805,17
,Revista,"Estudios Demográficos y Urbanos",IT,201806,18
,Revista,"Estudios Demográficos y Urbanos",IT,201807,2
,Revista,"Estudios Demográficos y Urbanos",JO,201803,2
,Revista,"Estudios Demográficos y Urbanos",JP,201801,4
,Revista,"Estudios Demográficos y Urbanos",JP,201802,8
,Revista,"Estudios Demográficos y Urbanos",JP,201803,10
,Revista,"Estudios Demográficos y Urbanos",JP,201804,3
,Revista,"Estudios Demográficos y Urbanos",JP,201805,5
,Revista,"Estudios Demográficos y Urbanos",JP,201806,2
,Revista,"Estudios Demográficos y Urbanos",JP,201807,1
,Revista,"Estudios Demográficos y Urbanos",KE,201801,1
,Revista,"Estudios Demográficos y Urbanos",KE,201803,1
,Revista,"Estudios Demográficos y Urbanos",KR,201801,16
,Revista,"Estudios Demográficos y Urbanos",KR,201802,4
,Revista,"Estudios Demográficos y Urbanos",KR,201803,9
,Revista,"Estudios Demográficos y Urbanos",KR,201804,5
,Revista,"Estudios Demográficos y Urbanos",KR,201805,14
,Revista,"Estudios Demográficos y Urbanos",KR,201806,7
,Revista,"Estudios Demográficos y Urbanos",KR,201807,3
,Revista,"Estudios Demográficos y Urbanos",KW,201802,1
,Revista,"Estudios Demográficos y Urbanos",KW,201803,4
,Revista,"Estudios Demográficos y Urbanos",LB,201801,1
,Revista,"Estudios Demográficos y Urbanos",LB,201802,1
,Revista,"Estudios Demográficos y Urbanos",LB,201803,1
,Revista,"Estudios Demográficos y Urbanos",LB,201804,1
,Revista,"Estudios Demográficos y Urbanos",LB,201806,1
,Revista,"Estudios Demográficos y Urbanos",LK,201801,2
,Revista,"Estudios Demográficos y Urbanos",LK,201803,2
,Revista,"Estudios Demográficos y Urbanos",LK,201804,1
,Revista,"Estudios Demográficos y Urbanos",LS,201802,1
,Revista,"Estudios Demográficos y Urbanos",LT,201801,1
,Revista,"Estudios Demográficos y Urbanos",LT,201802,3
,Revista,"Estudios Demográficos y Urbanos",LT,201804,3
,Revista,"Estudios Demográficos y Urbanos",LU,201804,1
,Revista,"Estudios Demográficos y Urbanos",LV,201801,3
,Revista,"Estudios Demográficos y Urbanos",LV,201802,1
,Revista,"Estudios Demográficos y Urbanos",LV,201803,1
,Revista,"Estudios Demográficos y Urbanos",LV,201804,1
,Revista,"Estudios Demográficos y Urbanos",LY,201803,1
,Revista,"Estudios Demográficos y Urbanos",LY,201805,1
,Revista,"Estudios Demográficos y Urbanos",LY,201806,1
,Revista,"Estudios Demográficos y Urbanos",MA,201801,4
,Revista,"Estudios Demográficos y Urbanos",MA,201802,3
,Revista,"Estudios Demográficos y Urbanos",MA,201803,6
,Revista,"Estudios Demográficos y Urbanos",MA,201804,5
,Revista,"Estudios Demográficos y Urbanos",MA,201805,3
,Revista,"Estudios Demográficos y Urbanos",MA,201806,5
,Revista,"Estudios Demográficos y Urbanos",MD,201803,1
,Revista,"Estudios Demográficos y Urbanos",MD,201804,4
,Revista,"Estudios Demográficos y Urbanos",MG,201803,1
,Revista,"Estudios Demográficos y Urbanos",MG,201806,1
,Revista,"Estudios Demográficos y Urbanos",MK,201803,1
,Revista,"Estudios Demográficos y Urbanos",MK,201804,2
,Revista,"Estudios Demográficos y Urbanos",MN,201801,2
,Revista,"Estudios Demográficos y Urbanos",MN,201803,1
,Revista,"Estudios Demográficos y Urbanos",MN,201805,3
,Revista,"Estudios Demográficos y Urbanos",MU,201802,1
,Revista,"Estudios Demográficos y Urbanos",MU,201804,1
,Revista,"Estudios Demográficos y Urbanos",MV,201801,1
,Revista,"Estudios Demográficos y Urbanos",MX,201801,1304
,Revista,"Estudios Demográficos y Urbanos",MX,201802,943
,Revista,"Estudios Demográficos y Urbanos",MX,201803,963
,Revista,"Estudios Demográficos y Urbanos",MX,201804,1079
,Revista,"Estudios Demográficos y Urbanos",MX,201805,1497
,Revista,"Estudios Demográficos y Urbanos",MX,201806,880
,Revista,"Estudios Demográficos y Urbanos",MX,201807,175
,Revista,"Estudios Demográficos y Urbanos",MY,201801,3
,Revista,"Estudios Demográficos y Urbanos",MY,201802,4
,Revista,"Estudios Demográficos y Urbanos",MY,201803,10
,Revista,"Estudios Demográficos y Urbanos",MY,201804,6
,Revista,"Estudios Demográficos y Urbanos",MY,201805,6
,Revista,"Estudios Demográficos y Urbanos",MY,201807,1
,Revista,"Estudios Demográficos y Urbanos",MZ,201803,1
,Revista,"Estudios Demográficos y Urbanos",MZ,201804,1
,Revista,"Estudios Demográficos y Urbanos",NA,201801,1
,Revista,"Estudios Demográficos y Urbanos",NA,201803,1
,Revista,"Estudios Demográficos y Urbanos",NG,201801,1
,Revista,"Estudios Demográficos y Urbanos",NG,201803,1
,Revista,"Estudios Demográficos y Urbanos",NG,201804,1
,Revista,"Estudios Demográficos y Urbanos",NG,201805,1
,Revista,"Estudios Demográficos y Urbanos",NI,201801,5
,Revista,"Estudios Demográficos y Urbanos",NI,201802,3
,Revista,"Estudios Demográficos y Urbanos",NI,201803,2
,Revista,"Estudios Demográficos y Urbanos",NI,201804,1
,Revista,"Estudios Demográficos y Urbanos",NL,201801,7
,Revista,"Estudios Demográficos y Urbanos",NL,201802,11
,Revista,"Estudios Demográficos y Urbanos",NL,201803,9
,Revista,"Estudios Demográficos y Urbanos",NL,201804,4
,Revista,"Estudios Demográficos y Urbanos",NL,201805,5
,Revista,"Estudios Demográficos y Urbanos",NL,201806,6
,Revista,"Estudios Demográficos y Urbanos",NL,201807,1
,Revista,"Estudios Demográficos y Urbanos",NO,201802,2
,Revista,"Estudios Demográficos y Urbanos",NO,201804,1
,Revista,"Estudios Demográficos y Urbanos",NO,201805,3
,Revista,"Estudios Demográficos y Urbanos",NZ,201802,2
,Revista,"Estudios Demográficos y Urbanos",NZ,201803,2
,Revista,"Estudios Demográficos y Urbanos",NZ,201804,2
,Revista,"Estudios Demográficos y Urbanos",NZ,201806,1
,Revista,"Estudios Demográficos y Urbanos",OM,201802,2
,Revista,"Estudios Demográficos y Urbanos",OM,201804,2
,Revista,"Estudios Demográficos y Urbanos",PA,201801,5
,Revista,"Estudios Demográficos y Urbanos",PA,201802,5
,Revista,"Estudios Demográficos y Urbanos",PA,201803,5
,Revista,"Estudios Demográficos y Urbanos",PA,201804,5
,Revista,"Estudios Demográficos y Urbanos",PA,201805,2
,Revista,"Estudios Demográficos y Urbanos",PA,201806,7
,Revista,"Estudios Demográficos y Urbanos",PE,201801,16
,Revista,"Estudios Demográficos y Urbanos",PE,201802,23
,Revista,"Estudios Demográficos y Urbanos",PE,201803,29
,Revista,"Estudios Demográficos y Urbanos",PE,201804,23
,Revista,"Estudios Demográficos y Urbanos",PE,201805,31
,Revista,"Estudios Demográficos y Urbanos",PE,201806,27
,Revista,"Estudios Demográficos y Urbanos",PE,201807,11
,Revista,"Estudios Demográficos y Urbanos",PF,201803,1
,Revista,"Estudios Demográficos y Urbanos",PG,201801,1
,Revista,"Estudios Demográficos y Urbanos",PH,201801,12
,Revista,"Estudios Demográficos y Urbanos",PH,201802,12
,Revista,"Estudios Demográficos y Urbanos",PH,201803,9
,Revista,"Estudios Demográficos y Urbanos",PH,201804,6
,Revista,"Estudios Demográficos y Urbanos",PH,201805,4
,Revista,"Estudios Demográficos y Urbanos",PH,201806,6
,Revista,"Estudios Demográficos y Urbanos",PH,201807,1
,Revista,"Estudios Demográficos y Urbanos",PK,201801,6
,Revista,"Estudios Demográficos y Urbanos",PK,201802,7
,Revista,"Estudios Demográficos y Urbanos",PK,201803,11
,Revista,"Estudios Demográficos y Urbanos",PK,201804,7
,Revista,"Estudios Demográficos y Urbanos",PK,201805,3
,Revista,"Estudios Demográficos y Urbanos",PK,201806,3
,Revista,"Estudios Demográficos y Urbanos",PL,201801,8
,Revista,"Estudios Demográficos y Urbanos",PL,201802,3
,Revista,"Estudios Demográficos y Urbanos",PL,201803,6
,Revista,"Estudios Demográficos y Urbanos",PL,201804,16
,Revista,"Estudios Demográficos y Urbanos",PL,201805,4
,Revista,"Estudios Demográficos y Urbanos",PL,201806,3
,Revista,"Estudios Demográficos y Urbanos",PL,201807,1
,Revista,"Estudios Demográficos y Urbanos",PR,201803,8
,Revista,"Estudios Demográficos y Urbanos",PR,201804,1
,Revista,"Estudios Demográficos y Urbanos",PR,201806,4
,Revista,"Estudios Demográficos y Urbanos",PR,201807,1
,Revista,"Estudios Demográficos y Urbanos",PS,201803,1
,Revista,"Estudios Demográficos y Urbanos",PT,201801,27
,Revista,"Estudios Demográficos y Urbanos",PT,201802,5
,Revista,"Estudios Demográficos y Urbanos",PT,201803,14
,Revista,"Estudios Demográficos y Urbanos",PT,201804,10
,Revista,"Estudios Demográficos y Urbanos",PT,201805,6
,Revista,"Estudios Demográficos y Urbanos",PT,201806,8
,Revista,"Estudios Demográficos y Urbanos",PT,201807,4
,Revista,"Estudios Demográficos y Urbanos",PY,201801,6
,Revista,"Estudios Demográficos y Urbanos",PY,201802,1
,Revista,"Estudios Demográficos y Urbanos",PY,201803,4
,Revista,"Estudios Demográficos y Urbanos",PY,201804,3
,Revista,"Estudios Demográficos y Urbanos",PY,201805,2
,Revista,"Estudios Demográficos y Urbanos",PY,201806,3
,Revista,"Estudios Demográficos y Urbanos",QA,201801,3
,Revista,"Estudios Demográficos y Urbanos",QA,201803,3
,Revista,"Estudios Demográficos y Urbanos",QA,201804,2
,Revista,"Estudios Demográficos y Urbanos",RO,201801,9
,Revista,"Estudios Demográficos y Urbanos",RO,201802,18
